email,password,IACJurisdiction,IACCaseType,idamId,assigneeUser
CRD_func_test_demo_adm11@justice.gov.uk,AldgateT0wer,IA,Asylum,e7b3bbfb-deb7-4fcb-ae00-1abf5b9d5854,
CRD_func_test_demo_adm22@justice.gov.uk,AldgateT0wer,IA,Asylum,30908502-e9e4-4977-ab94-a7d8fb08dacf,
PerfTest_SeniorTribunal_001@justice.gov.uk,Password12,IA,Asylum,77d74217-edc8-437e-beae-38fa617d91ec,9ea9f5ae-1935-4fd5-9be3-e8fe445185db
PerfTest_SeniorTribunal_002@justice.gov.uk,Password12,IA,Asylum,173abdcc-6c35-4e5c-b3cb-b48eeb9be334,b432c441-0a01-460f-add2-46a715745e18
PerfTest_SeniorTribunal_003@justice.gov.uk,Password12,IA,Asylum,c18054e7-92bc-413e-9a88-282a7abd1b31,e57615c9-3e61-451e-9fc1-9b55bc2b4346
PerfTest_SeniorTribunal_004@justice.gov.uk,Password12,IA,Asylum,2884c35b-5ab0-4cac-b52b-7005e4af6f81,b12c8c37-cee2-4201-bc99-a192d55f4046
PerfTest_SeniorTribunal_005@justice.gov.uk,Password12,IA,Asylum,aad5dc35-0a48-46b8-bfa9-5928e06acb01,60947045-7a69-4731-b059-1f1677d739e3
PerfTest_SeniorTribunal_006@justice.gov.uk,Password12,IA,Asylum,ee216c7d-7cdd-49c9-8098-2ff3bd3cc876,83ee2b8c-a771-4cde-87f7-06962c0572f7
PerfTest_SeniorTribunal_007@justice.gov.uk,Password12,IA,Asylum,641b8fe8-32de-446f-8437-eda389c26597,d82d6aa1-6f03-48f2-b6c9-4a73455e3c62
PerfTest_SeniorTribunal_008@justice.gov.uk,Password12,IA,Asylum,043b17a1-c5aa-4d75-b169-fa7af53fcaa6,b6553d24-bd44-4505-b693-7572e08a4556
PerfTest_SeniorTribunal_009@justice.gov.uk,Password12,IA,Asylum,918ad899-b49b-4bc6-a385-995a08a43f51,dc7b6a28-ebe0-45e0-b9f2-9f2c2984982e
PerfTest_SeniorTribunal_010@justice.gov.uk,Password12,IA,Asylum,26216390-5e51-4c32-9605-38b26d431072,96fd4d4b-9b7c-4e58-a7b0-f3ce19195dbe
PerfTest_SeniorTribunal_011@justice.gov.uk,Password12,IA,Asylum,9bdb2110-6675-489c-bb97-da3caaa6ad49,35a4627c-54e2-41fd-a9b1-01a776fd6e86
PerfTest_SeniorTribunal_012@justice.gov.uk,Password12,IA,Asylum,8bec9d20-cdee-4351-b56a-f82fc926da29,847e45c7-1b5d-4abc-a2fe-f35a2156acde
PerfTest_SeniorTribunal_013@justice.gov.uk,Password12,IA,Asylum,a3e15fac-e5f8-4c86-9e57-ea176d5fbe74,e418740f-63bc-4972-a554-911a51cac383
PerfTest_SeniorTribunal_014@justice.gov.uk,Password12,IA,Asylum,a961f2c9-caf3-49f8-9bca-06ed36c3f0e3,c6de0f51-462a-4b51-8c3b-6faf6a097187
PerfTest_SeniorTribunal_015@justice.gov.uk,Password12,IA,Asylum,c9b02662-b188-4790-b307-0733c2a501a8,08a2fe2d-b5a2-469b-87ef-8b2280cce9e1
PerfTest_SeniorTribunal_016@justice.gov.uk,Password12,IA,Asylum,1d2af843-1c91-4f96-b1fa-3c4c58696914,14c64d17-443d-44c6-b439-a5731f06880d
PerfTest_SeniorTribunal_017@justice.gov.uk,Password12,IA,Asylum,d6ab9630-bcb7-46a9-bccb-788363680df7,1e754790-67db-4c03-b1f9-9b0fa00d920d
PerfTest_SeniorTribunal_018@justice.gov.uk,Password12,IA,Asylum,3e36b80c-efa9-4ae5-b763-089946bd2d2c,f17592bd-fa32-4783-af63-ee88a5797835
PerfTest_SeniorTribunal_019@justice.gov.uk,Password12,IA,Asylum,34603f93-4786-457d-967d-eb7d18820ede,082654c0-f651-4cd1-9129-d8dd02de50ed
