email,password,idamId,caseRoles
PerfSupervisorCW_002@justice.gov.uk,Password12,dbcc775a-f2a6-48a8-b4d0-95ef5d25339d,140
PerfSupervisorCW_003@justice.gov.uk,Password12,aabb03e4-a905-4bc2-adfd-8a20dbcde3a0,140
PerfSupervisorCW_004@justice.gov.uk,Password12,745f390a-e242-4221-9ca6-794157f34707,140
PerfSupervisorCW_005@justice.gov.uk,Password12,1e7cf553-dc58-4fcb-84bf-bec84e381ad3,140
PerfSupervisorCW_006@justice.gov.uk,Password12,5067838e-037f-43e7-925e-c1ac6915ff7d,140
PerfSupervisorCW_007@justice.gov.uk,Password12,6eada5d2-e24e-4a75-b542-bf524b084281,140
PerfSupervisorCW_008@justice.gov.uk,Password12,c808507e-0973-485a-9f02-7ba7f9098d39,140
PerfSupervisorCW_009@justice.gov.uk,Password12,3221cb5a-df87-4ea0-b20a-4b147486ba61,140
PerfSupervisorCW_010@justice.gov.uk,Password12,13139b5f-61ce-4f63-b692-6c38e4920464,140
PerfSupervisorCW_011@justice.gov.uk,Password12,13f2612f-23b2-45ab-bcfe-f44d9f435e85,140
PerfSupervisorCW_012@justice.gov.uk,Password12,c30634b6-5f38-416d-aeba-c3d6efebd045,140
PerfSupervisorCW_013@justice.gov.uk,Password12,7c7ffa42-2ffb-4c6b-a845-9968aa6ea197,140
PerfSupervisorCW_014@justice.gov.uk,Password12,79d4d68d-a66a-4096-9d18-ff9e5d58858a,140
PerfSupervisorCW_015@justice.gov.uk,Password12,d3ff714e-93d2-4c6b-a49d-9e7ad9c2985b,140
PerfSupervisorCW_016@justice.gov.uk,Password12,16db9386-17d3-4eeb-ae3d-c771dcf86cf7,140
PerfSupervisorCW_017@justice.gov.uk,Password12,f558b559-76f1-4c2e-b3d4-da460734a91a,140
PerfSupervisorCW_018@justice.gov.uk,Password12,c5112f92-4d47-41e2-9cb5-358e48b1f509,140
PerfSupervisorCW_019@justice.gov.uk,Password12,2e8c64df-f577-42bf-9aa8-1c50b43117c2,140
PerfSupervisorCW_020@justice.gov.uk,Password12,deb77721-bfab-4ac2-9577-269f2c61f79f,140
PerfSupervisorCW_021@justice.gov.uk,Password12,58003014-33d6-4b31-8185-cfd3d69cfcab,140
PerfSupervisorCW_022@justice.gov.uk,Password12,9843c216-cf74-42ca-ae34-d94f578115ef,140
PerfSupervisorCW_023@justice.gov.uk,Password12,01d2240a-7c87-496c-83cc-1794da5e1d3b,140
PerfSupervisorCW_024@justice.gov.uk,Password12,ce691618-eb0f-4934-b15d-b3151496170a,140
PerfSupervisorCW_025@justice.gov.uk,Password12,a85c0204-b417-4721-b666-47a4bd091b70,140
PerfSupervisorCW_026@justice.gov.uk,Password12,aeefd9f7-fd01-4654-a92a-85c98f6b22df,140
PerfSupervisorCW_027@justice.gov.uk,Password12,fa3f20d0-d626-4f7a-ad75-aa450674819d,140
PerfSupervisorCW_028@justice.gov.uk,Password12,2f175066-f523-4abc-bef2-019f93906a06,140
PerfSupervisorCW_029@justice.gov.uk,Password12,8c0efe45-7769-4e0a-8aba-cb0fea50ed71,140
PerfSupervisorCW_030@justice.gov.uk,Password12,004fe0fd-9abe-4043-ba47-0654a6630672,100
PerfSupervisorCW_031@justice.gov.uk,Password12,13efd6b1-e50e-40b3-b5db-a649bae49f5e,140
PerfSupervisorCW_032@justice.gov.uk,Password12,b501bc0a-1e40-47f0-bcf9-947496ebcfa8,140
PerfSupervisorCW_033@justice.gov.uk,Password12,71b06a63-d03f-4bd7-8c78-17572d29c9e5,140
PerfSupervisorCW_034@justice.gov.uk,Password12,c716ab30-02db-4c28-aa1a-8c5eedcaf4d6,140
PerfSupervisorCW_035@justice.gov.uk,Password12,9dbe1b23-2a04-472e-ba9e-dc1222f80d77,140
